route_1,route_2,common_stop_count,common_stop_rank
648,868,21,91
653,936,21,91
668,766,21,91
691,828,21,91
7,950,21,91
707,789,21,91
707,808,21,91
710,722,21,91
715,722,21,91
732,986,21,91
732,990,21,91
737,981,21,91
741,853,21,91
741,920,21,91
742,853,21,91
742,920,21,91
766,767,21,91
766,768,21,91
766,967,21,91
767,988,21,91
783,785,21,91
783,795,21,91
8,971,21,91
804,808,21,91
823,877,21,91
828,879,21,91
828,910,21,91
847,853,21,91
847,920,21,91
853,912,21,91
9,975,21,91
9,985,21,91
9,987,21,91
909,971,21,91
967,988,21,91
971,975,21,91
971,981,21,91
971,982,21,91
971,983,21,91
971,984,21,91
971,985,21,91
971,987,21,91
102,543,20,92
105,233,20,92
105,417,20,92
121,290,20,92
121,330,20,92
121,543,20,92
16,523,20,92
16,524,20,92
171,233,20,92
193,671,20,92
200,202,20,92
200,204,20,92
200,206,20,92
200,290,20,92
200,330,20,92
200,543,20,92
204,697,20,92
204,806,20,92
204,858,20,92
206,353,20,92
214,54,20,92
224,680,20,92
229,329,20,92
229,428,20,92
229,443,20,92
229,446,20,92
229,820,20,92
229,827,20,92
233,353,20,92
233,818,20,92
249,54,20,92
290,330,20,92
290,543,20,92
295,827,20,92
303,304,20,92
304,940,20,92
311,946,20,92
321,950,20,92
353,472,20,92
353,515,20,92
358,560,20,92
358,60,20,92
365,565,20,92
41,42,20,92
42,46,20,92
423,595,20,92
428,429,20,92
428,443,20,92
428,920,20,92
429,443,20,92
429,446,20,92
429,529,20,92
429,820,20,92
429,827,20,92
430,532,20,92
435,532,20,92
442,595,20,92
443,820,20,92
443,827,20,92
466,838,20,92
470,472,20,92
470,878,20,92
490,878,20,92
501,543,20,92
502,543,20,92
504,543,20,92
515,878,20,92
535,853,20,92
536,805,20,92
54,662,20,92
54,699,20,92
602,648,20,92
602,820,20,92
602,853,20,92
608,853,20,92
648,800,20,92
660,820,20,92
660,853,20,92
684,738,20,92
701,724,20,92
701,782,20,92
714,715,20,92
724,783,20,92
732,737,20,92
732,882,20,92
732,978,20,92
767,772,20,92
772,967,20,92
776,829,20,92
791,795,20,92
8,950,20,92
800,820,20,92
800,853,20,92
808,814,20,92
82,950,20,92
820,920,20,92
827,920,20,92
882,981,20,92
909,950,20,92
950,975,20,92
950,981,20,92
950,982,20,92
950,983,20,92
950,984,20,92
950,985,20,92
950,987,20,92
961,981,20,92
104,304,19,93
104,476,19,93
105,805,19,93
119,53,19,93
119,57,19,93
149,751,19,93
156,556,19,93
157,92,19,93
193,873,19,93
197,537,19,93
202,697,19,93
202,806,19,93
202,858,19,93
206,676,19,93
206,697,19,93
206,806,19,93
206,858,19,93
213,290,19,93
247,344,19,93
247,430,19,93
277,64,19,93
285,470,19,93
304,472,19,93
304,805,19,93
335,742,19,93
338,498,19,93
353,490,19,93
353,878,19,93
359,597,19,93
374,470,19,93
374,875,19,93
41,46,19,93
434,435,19,93
441,871,19,93
476,940,19,93
517,587,19,93
517,879,19,93
536,940,19,93
537,77,19,93
543,699,19,93
645,651,19,93
651,835,19,93
651,936,19,93
653,656,19,93
701,770,19,93
701,780,19,93
701,781,19,93
701,798,19,93
705,712,19,93
707,814,19,93
722,724,19,93
743,798,19,93
747,868,19,93
749,827,19,93
749,848,19,93
760,961,19,93
761,961,19,93
762,8,19,93
782,783,19,93
795,865,19,93
799,814,19,93
812,850,19,93
826,827,19,93
866,878,19,93
906,961,19,93
104,536,18,94
104,676,18,94
104,805,18,94
135,335,18,94
136,361,18,94
153,154,18,94
193,588,18,94
200,697,18,94
200,806,18,94
200,808,18,94
200,858,18,94
200,920,18,94
206,805,18,94
214,498,18,94
214,559,18,94
229,445,18,94
258,430,18,94
258,435,18,94
267,505,18,94
285,72,18,94
290,800,18,94
290,920,18,94
295,695,18,94
330,920,18,94
34,441,18,94
